Name	Score	0.95 MoE	p-value	FDR
M89957_at	1.0		1.4027212792818068e-05	0.0020833333333333333
M92287_at	0.8524695150766435		1.4027212792818068e-05	0.0020833333333333333
D88270_at	0.8233798989673373	0.016489913701620375	1.4027212792818068e-05	0.0020833333333333333
X97267_rna1_s_at	0.792488017165964	0.014895008155521266	1.4027212792818068e-05	0.0020833333333333333
L10838_at	0.7495990554791152		1.4027212792818068e-05	0.0020833333333333333
U94855_at	0.7465680605746455		1.4027212792818068e-05	0.0020833333333333333
U07139_at	0.7415420860059843		1.4027212792818068e-05	0.0020833333333333333
X82240_rna1_at	0.7386270019951713		1.4027212792818068e-05	0.0020833333333333333
X59417_at	0.7369215364784819		1.4027212792818068e-05	0.0020833333333333333
D28423_at	0.7313125163068788	0.03342425169841541	1.4027212792818068e-05	0.0020833333333333333
M11722_at	0.7282733348820242		1.4027212792818068e-05	0.0020833333333333333
HG3088-HT3263_at	0.7194966212163435		1.4027212792818068e-05	0.0020833333333333333
X66401_cds1_at	0.7150238712672095		1.4027212792818068e-05	0.0020833333333333333
M31211_s_at	0.7033785243696643		1.4027212792818068e-05	0.0020833333333333333
Z14982_rna1_at	0.698534033874296		1.4027212792818068e-05	0.0020833333333333333
M31523_at	0.6973684405972869	0.030783101640750734	1.4027212792818068e-05	0.0020833333333333333
M33680_at	0.695969429239629		1.4027212792818068e-05	0.0020833333333333333
M27504_s_at	0.6884106527318847		1.4027212792818068e-05	0.0020833333333333333
M38690_at	0.6865334219548823		1.4027212792818068e-05	0.0020833333333333333
U05259_rna1_at	0.6704113910255424		1.4027212792818068e-05	0.0020833333333333333
X58529_at	0.6667706390074756		1.4027212792818068e-05	0.0020833333333333333
M29971_at	0.664447063195397		1.4027212792818068e-05	0.0020833333333333333
M63488_at	0.6570463100209464		1.4027212792818068e-05	0.0020833333333333333
X67951_at	0.6559991809887897		1.4027212792818068e-05	0.0020833333333333333
Z68228_s_at	0.6542190780514692		1.4027212792818068e-05	0.0020833333333333333
D30742_at	0.6419846389307261	0.02303361168497901	1.4027212792818068e-05	0.0020833333333333333
X95073_at	0.6356492205528202		1.4027212792818068e-05	0.0020833333333333333
D86970_at	0.6340339812598073	0.033293974390256574	1.4027212792818068e-05	0.0020833333333333333
M63838_s_at	0.6328073142417836		1.4027212792818068e-05	0.0020833333333333333
J03798_at	0.6315841703510222		1.4027212792818068e-05	0.0020833333333333333
J03473_at	0.6309369563777188		1.4027212792818068e-05	0.0020833333333333333
L33930_s_at	0.6280213555817659		1.4027212792818068e-05	0.0020833333333333333
X15357_at	0.6264994988562332		1.4027212792818068e-05	0.0020833333333333333
X99920_at	0.6251054640818593		1.4027212792818068e-05	0.0020833333333333333
X62153_s_at	0.6245915012534212		1.4027212792818068e-05	0.0020833333333333333
S46622_at	0.624418408373175		1.4027212792818068e-05	0.0020833333333333333
X15414_at	0.621582452356226		1.4027212792818068e-05	0.0020833333333333333
U83843_at	0.6166456570718752		1.4027212792818068e-05	0.0020833333333333333
U79285_at	0.6150707416831037		1.4027212792818068e-05	0.0020833333333333333
Z49194_at	0.6127905078721927		1.4027212792818068e-05	0.0020833333333333333
Z68204_at	0.6118447727316147		1.4027212792818068e-05	0.0020833333333333333
J05614_at	0.611219036603026		1.4027212792818068e-05	0.0020833333333333333
D13988_at	0.607368416047521	0.03168313416891209	1.4027212792818068e-05	0.0020833333333333333
Y08612_at	0.603089372441981		1.4027212792818068e-05	0.0020833333333333333
U02493_at	0.6022936008892938		1.4027212792818068e-05	0.0020833333333333333
M84371_rna1_s_at	0.6004401816742178		1.4027212792818068e-05	0.0020833333333333333
U22376_cds2_s_at	0.5986776616290694		1.4027212792818068e-05	0.0020833333333333333
D63880_at	0.5966915007724107	0.028617186849321557	1.4027212792818068e-05	0.0020833333333333333
U88964_at	0.5942170529239588		2.8054425585636136e-05	0.0029850746268656717
D17408_s_at	0.5904017320066148		2.8054425585636136e-05	0.0029850746268656717
X98248_rna1_at	0.5898663109401089		2.8054425585636136e-05	0.0029850746268656717
U10485_at	0.5872355123300165		2.8054425585636136e-05	0.0029850746268656717
D23673_at	0.5862789835914325	0.03054718330719284	2.8054425585636136e-05	0.0029850746268656717
X92896_at	0.5838913780283815		2.8054425585636136e-05	0.0029850746268656717
M98045_at	0.5834559302906515		2.8054425585636136e-05	0.0029850746268656717
Z15115_at	0.5805053637202879		2.8054425585636136e-05	0.0029850746268656717
HG2591-HT2687_s_at	0.5775891730941027		2.8054425585636136e-05	0.0029850746268656717
K01911_at	0.5758689767567922		2.8054425585636136e-05	0.0029850746268656717
M16707_rna1_s_at	0.5753838774896064		2.8054425585636136e-05	0.0029850746268656717
HG4747-HT5195_at	0.5741110670919737		2.8054425585636136e-05	0.0029850746268656717
U03911_at	0.5726265720775866		2.8054425585636136e-05	0.0029850746268656717
J03589_at	0.5719244000340086		2.8054425585636136e-05	0.0029850746268656717
Z37986_at	0.5719186111688436		2.8054425585636136e-05	0.0029850746268656717
M65214_s_at	0.5718706724050171		2.8054425585636136e-05	0.0029850746268656717
U28833_at	0.5686805751683247		2.8054425585636136e-05	0.0029850746268656717
U51240_at	0.5685678365136191		2.8054425585636136e-05	0.0029850746268656717
X06825_at	0.5682104439521631	0.03739371210305836	2.8054425585636136e-05	0.0029850746268656717
M74719_at	0.5677588967506884		4.20816383784542e-05	0.004411764705882353
D86062_s_at	0.5633365288410122		7.013606396409034e-05	0.007246376811594204
M91432_at	0.5629094636980106		8.41632767569084e-05	0.008333333333333335
L06175_at	0.5620949194322493		8.41632767569084e-05	0.008333333333333335
J00314_at	0.5606040874282276	0.028886282102175528	8.41632767569084e-05	0.008333333333333335
U90902_at	0.5594549630355228		9.819048954972647e-05	0.009589041095890411
Z83741_at	0.5587899017824116		0.0001262449151353626	0.011842105263157895
X95325_s_at	0.5587656592467847		0.0001262449151353626	0.011842105263157895
HG1980-HT2023_at	0.5586589273113572		0.0001262449151353626	0.011842105263157895
M27749_at	0.5577014495056911		0.00014027212792818068	0.0125
AF015913_at	0.5573011322322247		0.00014027212792818068	0.0125
U33822_at	0.5571163264286286		0.00014027212792818068	0.0125
M16707_rna1_at	0.5570056036662142		0.00014027212792818068	0.0125
V00599_s_at	0.5553602727356972		0.00015429934072099875	0.013414634146341465
S50223_at	0.5551342098796327		0.00015429934072099875	0.013414634146341465
D38073_at	0.5488468580076264		0.00019638097909945295	0.015151515151515152
U00802_s_at	0.5473833958865674		0.00019638097909945295	0.015151515151515152
L47738_at	0.5464225770062773		0.00019638097909945295	0.015151515151515152
M29696_at	0.5431078506078774		0.00019638097909945295	0.015151515151515152
X80230_at	0.5429863795766728		0.00019638097909945295	0.015151515151515152
J02621_s_at	0.5427474596441128		0.00019638097909945295	0.015151515151515152
Z93784_at	0.5427468045488965		0.00019638097909945295	0.015151515151515152
U05321_at	0.5419858626269801		0.00019638097909945295	0.015151515151515152
M64925_at	0.5417249882203284		0.00019638097909945295	0.015151515151515152
M24069_at	0.5408276497081026		0.00021040819189227102	0.015151515151515152
J05243_at	0.5406691041487308		0.00021040819189227102	0.015151515151515152
D14678_at	0.5403740093915761		0.00021040819189227102	0.015151515151515152
X04898_rna1_at	0.5387581759404142		0.00021040819189227102	0.015151515151515152
L07633_at	0.5382655378356075		0.00021040819189227102	0.015151515151515152
X78031_at	0.5379541215266197		0.00021040819189227102	0.015151515151515152
U06155_at	0.5371700944542354		0.00021040819189227102	0.015151515151515152
U18271_cds3_s_at	0.5370050099735759		0.00021040819189227102	0.015151515151515152
D14660_at	0.5352670533673404		0.00022443540468508908	0.015841584158415842
M22898_at	0.5351626272093987		0.00022443540468508908	0.015841584158415842
L01406_at	0.5341436890381387		0.0002524898302707252	0.016822429906542057
U51586_at	0.5339761452204038		0.0002524898302707252	0.016822429906542057
X14850_at	0.533819037382709		0.0002524898302707252	0.016822429906542057
D87459_at	0.532327860917498		0.0002524898302707252	0.016822429906542057
Z23064_at	0.5320417446646645		0.0002524898302707252	0.016822429906542057
S85655_at	0.5318977415999311		0.0002524898302707252	0.016822429906542057
U48705_rna1_s_at	0.5315988635326729		0.00028054425585636136	0.017355371900826446
X69111_at	0.5298351986002302		0.0002945714686491794	0.017355371900826446
U24704_at	0.5291740308344232		0.0002945714686491794	0.017355371900826446
X69838_at	0.529127226491946		0.0002945714686491794	0.017355371900826446
Z35102_at	0.5288584623959779		0.0002945714686491794	0.017355371900826446
U94319_at	0.5287013999488689		0.0002945714686491794	0.017355371900826446
D80003_at	0.5284865822382128		0.0002945714686491794	0.017355371900826446
L14848_s_at	0.5272645259910808		0.0002945714686491794	0.017355371900826446
X66867_cds1_at	0.5267198804392035		0.0002945714686491794	0.017355371900826446
M63180_at	0.5264895623814253		0.0002945714686491794	0.017355371900826446
J03600_at	0.5263254874664093		0.0002945714686491794	0.017355371900826446
X15573_at	0.5259659194397632		0.0002945714686491794	0.017355371900826446
Z68193_at	0.5243866135053667		0.0002945714686491794	0.017355371900826446
U43885_at	0.5243702084977443		0.0002945714686491794	0.017355371900826446
D13315_at	0.5233237329991771		0.0003085986814419975	0.018032786885245903
HG3546-HT3744_s_at	0.5226058723341431		0.00032262589423481553	0.018548387096774192
M16652_s_at	0.5221380624897902		0.00032262589423481553	0.018548387096774192
D14658_at	0.5212943547482579		0.0003366531070276336	0.019200000000000002
X56687_s_at	0.5182375736924031		0.00036470753261326976	0.0203125
D00003_at	0.5176222196430516		0.00036470753261326976	0.0203125
M34677_at	0.5163420119596707		0.00036470753261326976	0.0203125
Z69881_at	0.5160447705981672		0.0003787347454060878	0.020930232558139535
U62136_at	0.5150509443205962		0.0003927619581989059	0.02137404580152672
D00596_at	0.5149615122813407		0.0003927619581989059	0.02137404580152672
J02874_at	0.5132195281370976		0.0004348435965773601	0.02330827067669173
U02556_at	0.5131602263103163		0.0004348435965773601	0.02330827067669173
S63912_at	0.5109828154003923		0.00044887080937017817	0.023529411764705885
L09749_at	0.5105578908762484		0.00044887080937017817	0.023529411764705885
M62831_at	0.5104046448134207		0.00044887080937017817	0.023529411764705885
U38846_at	0.5100184184446831		0.0004769252349558143	0.024817518248175182
M94633_at	0.5092188769102554		0.0004909524477486323	0.025362318840579712
M60278_at	0.5084558066890054		0.0005049796605414504	0.025899280575539568
X13293_at	0.5073785015669798		0.0005190068733342685	0.026428571428571433
D21262_at	0.5063632836955417		0.0005330340861270865	0.026950354609929075
M28170_at	0.5049950016174972		0.0005610885117127227	0.028169014084507046
M92934_at	0.5045324301094725		0.0005751157245055407	0.02867132867132867
D30037_at	0.5037735479983434		0.0006031701500911769	0.029696969696969694
X74801_at	0.5025492895668665		0.000631224575676813	0.029696969696969694
U73737_at	0.5025062467738772		0.000631224575676813	0.029696969696969694
U78551_at	0.5021938120472799		0.000631224575676813	0.029696969696969694
U61981_at	0.5015627396219123		0.000631224575676813	0.029696969696969694
HG3549-HT3751_at	0.5012679888566596		0.000631224575676813	0.029696969696969694
L09260_at	0.5012402304206537		0.000631224575676813	0.029696969696969694
Y10807_s_at	0.5010903192487648		0.0006452517884696311	0.029696969696969694
HG2274-HT2370_at	0.5006075698178948		0.0006592790012624492	0.029696969696969694
U52427_rna1_at	0.5004683316580325		0.0006592790012624492	0.029696969696969694
L38810_at	0.5001759848394703		0.0006592790012624492	0.029696969696969694
M83664_at	0.5000352843895505		0.0006592790012624492	0.029696969696969694
X72012_at	0.4997056402672734		0.0006733062140552673	0.029696969696969694
X97261_r_at	0.49947042912753936		0.0006733062140552673	0.029696969696969694
M95809_at	0.49946042353664516		0.0006733062140552673	0.029696969696969694
M54992_at	0.49914656479399583		0.0006733062140552673	0.029696969696969694
J03779_at	0.49898520052495404		0.0006873334268480852	0.029696969696969694
L00634_s_at	0.4987289873795557		0.0006873334268480852	0.029696969696969694
U72649_at	0.497750087418146		0.0006873334268480852	0.029696969696969694
U86782_at	0.49767255296601454		0.0006873334268480852	0.029696969696969694
X87852_at	0.4973288197638613		0.0006873334268480852	0.029696969696969694
M37815_cds1_at	0.4969203031959714		0.0006873334268480852	0.029696969696969694
X51521_at	0.49573280679262544		0.0007013606396409033	0.030120481927710843
Y07755_at	0.495224235015614		0.0007153878524337214	0.030357142857142857
U37426_at	0.49332671444654963		0.0007153878524337214	0.030357142857142857
J05257_at	0.4931789264913891		0.0007294150652265395	0.03076923076923077
X56468_at	0.49201161781876207		0.0007855239163978118	0.03274853801169591
Y08837_at	0.4915219516295903		0.0007855239163978118	0.03274853801169591
X59711_at	0.4906789495875128		0.0007995511291906298	0.032947976878612714
U90549_at	0.4904347570735178		0.0007995511291906298	0.032947976878612714
X79067_at	0.4895501829774332		0.0008135783419834479	0.03314285714285714
X77533_at	0.48920487173342897		0.0008135783419834479	0.03314285714285714
U26312_s_at	0.4889627448349591		0.0008416327675690841	0.034090909090909095
X91992_at	0.48811347708412717		0.0008696871931547201	0.03502824858757062
HG1751-HT1768_at	0.486993235763338		0.0008977416187403563	0.035754189944134075
X51823_at	0.48642539180456384		0.0008977416187403563	0.035754189944134075
M85085_at	0.48597102756764277		0.0009117688315331743	0.03611111111111111
M62994_at	0.48485016334012304		0.0009538504699116286	0.03655913978494624
D13627_at	0.4846684536531056		0.0009538504699116286	0.03655913978494624
U24183_s_at	0.4844080541329423		0.0009538504699116286	0.03655913978494624
X76648_at	0.48424875674826384		0.0009538504699116286	0.03655913978494624
X99585_at	0.4841955830802896		0.0009538504699116286	0.03655913978494624
