Name	Score	0.95 MoE	p-value	FDR
NTRK2	0.9565404085693096		4.8754326946516506e-06	8.583690987124464e-05
MME	0.9271233590588891		4.8754326946516506e-06	8.583690987124464e-05
ANXA1	0.9169118297347537		4.8754326946516506e-06	8.583690987124464e-05
TMEM220	0.9071987058064324		4.8754326946516506e-06	8.583690987124464e-05
CAV1	0.8904637316059288		4.8754326946516506e-06	8.583690987124464e-05
MATN2	0.884970974659867		4.8754326946516506e-06	8.583690987124464e-05
TGFBR3	0.8803346112631567		4.8754326946516506e-06	8.583690987124464e-05
TNFRSF10D	0.8758317181361178		4.8754326946516506e-06	8.583690987124464e-05
SPRY2	0.8717573939155718		4.8754326946516506e-06	8.583690987124464e-05
SCN4B	0.8712052768524635		4.8754326946516506e-06	8.583690987124464e-05
FAXDC2	0.8658189972609871		4.8754326946516506e-06	8.583690987124464e-05
GGTA1P	0.8651736628438679		4.8754326946516506e-06	8.583690987124464e-05
NDRG2	0.8616927004840351		4.8754326946516506e-06	8.583690987124464e-05
TMEM220-AS1	0.8614852450461319	0.012195212577286611	4.8754326946516506e-06	8.583690987124464e-05
SH3BGRL2	0.8576240583407536		4.8754326946516506e-06	8.583690987124464e-05
TDRD10	0.8575020641612303		4.8754326946516506e-06	8.583690987124464e-05
CRYAB	0.8565237155461177		4.8754326946516506e-06	8.583690987124464e-05
ADAM33	0.8564448552084233		4.8754326946516506e-06	8.583690987124464e-05
EFEMP1	0.8543461815412547		4.8754326946516506e-06	8.583690987124464e-05
KLHL29	0.852205393240925		4.8754326946516506e-06	8.583690987124464e-05
RGN	0.8485731345416272		4.8754326946516506e-06	8.583690987124464e-05
LINC00526	0.8464911999115714	0.011762569329979235	4.8754326946516506e-06	8.583690987124464e-05
FHL1	0.8461107841369238	0.017651431008771482	4.8754326946516506e-06	8.583690987124464e-05
ANKRD29	0.8456553813361295		4.8754326946516506e-06	8.583690987124464e-05
TSLP	0.8375232001003406		4.8754326946516506e-06	8.583690987124464e-05
EGFR	0.8370831464534146		4.8754326946516506e-06	8.583690987124464e-05
GIPC2	0.837008928436353		4.8754326946516506e-06	8.583690987124464e-05
TNXB	0.8324250043982289		4.8754326946516506e-06	8.583690987124464e-05
METTL7A	0.8321330080740104		4.8754326946516506e-06	8.583690987124464e-05
C10orf10	0.8302873199544031		4.8754326946516506e-06	8.583690987124464e-05
LIMS2	0.8285752256847517		4.8754326946516506e-06	8.583690987124464e-05
FMO2	0.8269411959434815		4.8754326946516506e-06	8.583690987124464e-05
CACHD1	0.8268138398511724		4.8754326946516506e-06	8.583690987124464e-05
MOB3C	0.826217532032471		4.8754326946516506e-06	8.583690987124464e-05
RAPGEF3	0.825334628336274		4.8754326946516506e-06	8.583690987124464e-05
CRIM1	0.8250298346454874		4.8754326946516506e-06	8.583690987124464e-05
RGS6	0.8241785057008437		4.8754326946516506e-06	8.583690987124464e-05
DMD	0.8238108166248416		4.8754326946516506e-06	8.583690987124464e-05
MYH11	0.8237415210449667		4.8754326946516506e-06	8.583690987124464e-05
AC022400.7	0.8210830081695177	0.016471209957012928	4.8754326946516506e-06	8.583690987124464e-05
ITIH5	0.8200375847281907		4.8754326946516506e-06	8.583690987124464e-05
APCDD1	0.8185168211549734		4.8754326946516506e-06	8.583690987124464e-05
GNAL	0.8168083736393961		4.8754326946516506e-06	8.583690987124464e-05
SLIT3	0.8165239288745155		4.8754326946516506e-06	8.583690987124464e-05
MAMDC2	0.8164063360133407		4.8754326946516506e-06	8.583690987124464e-05
TINAGL1	0.8159865098859505		4.8754326946516506e-06	8.583690987124464e-05
CDC14B	0.812924286633179		4.8754326946516506e-06	8.583690987124464e-05
AQP1	0.8121191573083846		4.8754326946516506e-06	8.583690987124464e-05
PDK4	0.8112848299579848	0.02565638619484407	4.8754326946516506e-06	8.583690987124464e-05
LTBP4	0.8108859381305902		4.8754326946516506e-06	8.583690987124464e-05
FAM107A	0.8094906596505169		4.8754326946516506e-06	8.583690987124464e-05
TGFBR2	0.8089916173413748		4.8754326946516506e-06	8.583690987124464e-05
FGF14-AS2	0.8087222945340085	0.015852503602471455	4.8754326946516506e-06	8.583690987124464e-05
AC007541.1	0.8079408850283425		4.8754326946516506e-06	8.583690987124464e-05
PLPP3	0.8078782679965189		4.8754326946516506e-06	8.583690987124464e-05
CYYR1	0.8076029066680331		4.8754326946516506e-06	8.583690987124464e-05
USHBP1	0.8073754637906299		4.8754326946516506e-06	8.583690987124464e-05
AVPR2	0.8065361898404682		4.8754326946516506e-06	8.583690987124464e-05
AC107959.1	0.8063226280554053		4.8754326946516506e-06	8.583690987124464e-05
KL	0.8054816196911326		4.8754326946516506e-06	8.583690987124464e-05
STAT5B	0.8042382142333473		4.8754326946516506e-06	8.583690987124464e-05
HOXA4	0.7995762875669283		4.8754326946516506e-06	8.583690987124464e-05
EEPD1	0.7987828539866355		4.8754326946516506e-06	8.583690987124464e-05
LDHB	0.7983267241521044		4.8754326946516506e-06	8.583690987124464e-05
AC019131.2	0.7980106882727592	0.020878333984649833	4.8754326946516506e-06	8.583690987124464e-05
HYAL1	0.7976859559343596		4.8754326946516506e-06	8.583690987124464e-05
PPM1F	0.7974563548308735		4.8754326946516506e-06	8.583690987124464e-05
CXCL12	0.7973206399676627		4.8754326946516506e-06	8.583690987124464e-05
TNS2	0.7972183856357352		4.8754326946516506e-06	8.583690987124464e-05
CADM3-AS1	0.7970543587442536		4.8754326946516506e-06	8.583690987124464e-05
SYNPO2	0.7969882152847644		4.8754326946516506e-06	8.583690987124464e-05
LMOD1	0.7966415822513185		4.8754326946516506e-06	8.583690987124464e-05
MYLK	0.7959604406615978		4.8754326946516506e-06	8.583690987124464e-05
RASIP1	0.7953581527904487		4.8754326946516506e-06	8.583690987124464e-05
SORBS1	0.7913125763124211		4.8754326946516506e-06	8.583690987124464e-05
ADAMTS5	0.7912664762481691		4.8754326946516506e-06	8.583690987124464e-05
PLIN1	0.7893452985225846		4.8754326946516506e-06	8.583690987124464e-05
PFKFB3	0.7889511299625366		4.8754326946516506e-06	8.583690987124464e-05
IL11RA	0.7859743859933743		4.8754326946516506e-06	8.583690987124464e-05
CEP112	0.7848112298795094		4.8754326946516506e-06	8.583690987124464e-05
SOBP	0.7845742712531396		4.8754326946516506e-06	8.583690987124464e-05
CCDC82	0.7843711192769173		4.8754326946516506e-06	8.583690987124464e-05
CBX7	0.7837969509819336		4.8754326946516506e-06	8.583690987124464e-05
ADCY4	0.7832792320840358		4.8754326946516506e-06	8.583690987124464e-05
PTPN21	0.783054374938097		4.8754326946516506e-06	8.583690987124464e-05
AL133482.1	0.7828837005439625		4.8754326946516506e-06	8.583690987124464e-05
LDB2	0.7826693946876614		4.8754326946516506e-06	8.583690987124464e-05
HSPB2	0.7822460789208939		4.8754326946516506e-06	8.583690987124464e-05
SYNM	0.7813899086509487		4.8754326946516506e-06	8.583690987124464e-05
FLJ27354	0.7802961478424797		4.8754326946516506e-06	8.583690987124464e-05
CHRDL1	0.7802954327570033		4.8754326946516506e-06	8.583690987124464e-05
AC108134.3	0.7793220731780165		4.8754326946516506e-06	8.583690987124464e-05
ROBO3	0.7784825345684864		4.8754326946516506e-06	8.583690987124464e-05
DPT	0.7784364107034358		4.8754326946516506e-06	8.583690987124464e-05
CAT	0.777959651392295		4.8754326946516506e-06	8.583690987124464e-05
MFAP4	0.7776590608623245		4.8754326946516506e-06	8.583690987124464e-05
LPL	0.7768088575975054		4.8754326946516506e-06	8.583690987124464e-05
VSIR	0.7759154683609182		4.8754326946516506e-06	8.583690987124464e-05
AL161785.1	0.7756241871778318		4.8754326946516506e-06	8.583690987124464e-05
ARHGEF10	0.7754999206540961		4.8754326946516506e-06	8.583690987124464e-05
ARHGEF4	0.7751031240698687		4.8754326946516506e-06	8.583690987124464e-05
MIR497HG	0.774520224775351	0.015960202322274162	4.8754326946516506e-06	8.583690987124464e-05
FGF1	0.7740949865686398		4.8754326946516506e-06	8.583690987124464e-05
AP002004.1	0.7739204453170615		4.8754326946516506e-06	8.583690987124464e-05
TMBIM1	0.772318298118088		4.8754326946516506e-06	8.583690987124464e-05
CCL14	0.7718189311782895	0.01842872326348001	4.8754326946516506e-06	8.583690987124464e-05
AC096921.2	0.7715674652309786		4.8754326946516506e-06	8.583690987124464e-05
PYROXD2	0.7714366947907499		4.8754326946516506e-06	8.583690987124464e-05
CD36	0.7712949638048243		4.8754326946516506e-06	8.583690987124464e-05
CAVIN2	0.770807894872558		4.8754326946516506e-06	8.583690987124464e-05
