Name	Score	0.95 MoE	p-value	FDR
NTRK2	0.8799216262473722		4.8754326946516506e-06	0.00012195121951219512
MME	0.8385961739889161		4.8754326946516506e-06	0.00012195121951219512
TMEM220	0.8128253600209692		4.8754326946516506e-06	0.00012195121951219512
ANXA1	0.8117315328708201		4.8754326946516506e-06	0.00012195121951219512
CAV1	0.8066050468086298		4.8754326946516506e-06	0.00012195121951219512
MATN2	0.7704203700011691		4.8754326946516506e-06	0.00012195121951219512
SPRY2	0.7534607858232159		4.8754326946516506e-06	0.00012195121951219512
CRYAB	0.7459172219545543		4.8754326946516506e-06	0.00012195121951219512
TDRD10	0.7452491203694817		4.8754326946516506e-06	0.00012195121951219512
ADAM33	0.7396465337948802		4.8754326946516506e-06	0.00012195121951219512
TNFRSF10D	0.7351760408009503		4.8754326946516506e-06	0.00012195121951219512
TGFBR3	0.7341204292295426		4.8754326946516506e-06	0.00012195121951219512
SCN4B	0.7327938123470061		4.8754326946516506e-06	0.00012195121951219512
KLHL29	0.7273746165284006		4.8754326946516506e-06	0.00012195121951219512
APOD	0.7270750463121297		4.8754326946516506e-06	0.00012195121951219512
TNXB	0.7230087071405882		4.8754326946516506e-06	0.00012195121951219512
GGTA1P	0.7219732173511502		4.8754326946516506e-06	0.00012195121951219512
TSLP	0.7196674115837107		4.8754326946516506e-06	0.00012195121951219512
NDRG2	0.7133125141841594		4.8754326946516506e-06	0.00012195121951219512
EGR1	0.7069321803128519		4.8754326946516506e-06	0.00012195121951219512
FHL1	0.7057466241926971	0.030939699241823576	4.8754326946516506e-06	0.00012195121951219512
FMO2	0.7043798317513688		4.8754326946516506e-06	0.00012195121951219512
LDHB	0.7043096350590888		4.8754326946516506e-06	0.00012195121951219512
RGS6	0.7042257681222587		4.8754326946516506e-06	0.00012195121951219512
FAXDC2	0.7040574694769032		4.8754326946516506e-06	0.00012195121951219512
DMD	0.7031888212833457		4.8754326946516506e-06	0.00012195121951219512
MYH11	0.7010740803874594		4.8754326946516506e-06	0.00012195121951219512
AL133482.1	0.7003900284886408		4.8754326946516506e-06	0.00012195121951219512
AQP1	0.6990950191549459		4.8754326946516506e-06	0.00012195121951219512
TMEM220-AS1	0.6977500794208104		4.8754326946516506e-06	0.00012195121951219512
RGN	0.6954665947669894		4.8754326946516506e-06	0.00012195121951219512
ANKRD29	0.6941818617468096		4.8754326946516506e-06	0.00012195121951219512
GPD1	0.6931644876542711		4.8754326946516506e-06	0.00012195121951219512
CD36	0.6921130883688127		4.8754326946516506e-06	0.00012195121951219512
SH3BGRL2	0.6903201082774331		4.8754326946516506e-06	0.00012195121951219512
SFRP1	0.6902954008321874		4.8754326946516506e-06	0.00012195121951219512
MAMDC2	0.688904813810176		4.8754326946516506e-06	0.00012195121951219512
LIMS2	0.6888424967738386		4.8754326946516506e-06	0.00012195121951219512
PLIN1	0.6878820422562808		4.8754326946516506e-06	0.00012195121951219512
GIPC2	0.6878373061502185		4.8754326946516506e-06	0.00012195121951219512
CACHD1	0.6843447905260023		4.8754326946516506e-06	0.00012195121951219512
LINC00526	0.6819572270715428	0.019901999708024115	4.8754326946516506e-06	0.00012195121951219512
MFAP4	0.6818231591317517		4.8754326946516506e-06	0.00012195121951219512
CRIM1	0.6813526032945426		4.8754326946516506e-06	0.00012195121951219512
CXCL12	0.6794896120521121		4.8754326946516506e-06	0.00012195121951219512
CX3CL1	0.6765437241344743	0.03467267479383173	4.8754326946516506e-06	0.00012195121951219512
TNS1	0.6756828586488152		4.8754326946516506e-06	0.00012195121951219512
ADAMTS5	0.6727511110808743		4.8754326946516506e-06	0.00012195121951219512
EGFR	0.6720657694318147		4.8754326946516506e-06	0.00012195121951219512
TGFBR2	0.671355032816879		4.8754326946516506e-06	0.00012195121951219512
EFEMP1	0.670383532008425		4.8754326946516506e-06	0.00012195121951219512
